deviceId,flowId,state,priority,tableId,isPermanent,packets,bytes
of:0000000000000014,21110623469371558,ADDED,10,0,False,0,0
of:0000000000000014,21110625810458151,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626312872999,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627044321832,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626227937065,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625843589674,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626112351915,ADDED,10,0,False,0,0
of:0000000000000014,21110623780659631,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627504286511,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624000509360,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627261105456,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624359944880,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625605843249,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624382368305,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623868600371,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625207819702,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623458898614,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626726424886,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624462135351,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623728219832,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624994677304,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626866860858,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624560280379,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625810384827,ADDED,10,0,False,0,0
of:0000000000000014,21110626956742588,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627460611389,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624037316158,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626209693374,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625414803139,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624585605443,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623803427267,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623451276739,ADDED,10,0,False,0,0
of:0000000000000014,21110626931971525,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626399879366,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623378183878,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623546483271,PENDING_ADD,10,0,False,0,0
of:0000000000000014,281479162586440,ADDED,40000,0,True,4019,168798
of:0000000000000014,21110625000782408,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623635457225,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624547489994,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625677135436,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623291067084,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625900724813,ADDED,10,0,False,0,0
of:0000000000000014,21110625719932621,ADDED,10,0,False,0,0
of:0000000000000014,21110625757646542,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626353424462,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626000676815,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624042670031,ADDED,10,0,False,0,0
of:0000000000000014,21110624163419215,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626973245776,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627329117009,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625190665937,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623325815505,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627354725970,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626264182354,PENDING_ADD,10,0,False,0,0
of:0000000000000014,281477877977683,ADDED,5,0,True,334,32732
of:0000000000000014,21110624231926101,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627113527253,PENDING_ADD,10,0,False,0,0
of:0000000000000014,281476527365973,ADDED,40000,0,True,167,23380
of:0000000000000014,21110627535117271,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627305928280,ADDED,10,0,False,0,0
of:0000000000000014,21110624647399128,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626559190744,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625176236377,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623379754587,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627459418332,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625633341918,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625664236127,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625623940704,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626116850401,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624580918498,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626424418532,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624655532517,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626793338469,ADDED,10,0,False,0,0
of:0000000000000014,21110627250151014,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623944941415,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623283651304,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625985717353,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626363668073,ADDED,10,0,False,0,0
of:0000000000000014,21110624419015274,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626118862571,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626426081260,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625876377325,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624246212976,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624895560945,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110623273974257,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624849764083,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625184065139,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627185480052,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626742423412,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625319739124,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624563629301,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627005497336,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110626143104249,PENDING_ADD,10,0,False,0,0
of:0000000000000014,281475223309178,ADDED,40000,0,True,167,23380
of:0000000000000014,21110623828056956,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624599820285,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110624534690941,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625874890109,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110627159333245,PENDING_ADD,10,0,False,0,0
of:0000000000000014,21110625526639358,PENDING_ADD,10,0,False,0,0
of:0000000000000015,21110624603131648,ADDED,10,0,False,0,0
of:0000000000000015,281475704108069,ADDED,5,0,True,449,44002
of:0000000000000015,21110624076837546,ADDED,10,0,False,0,0
